1482578168,8
1482578169,9
1482578170,8
1482578171,5
1482578172,7
1482578173,8
1482578174,6
1482578175,8
1482578176,7
1482578177,7
1482578178,4
1482578179,7
1482578180,9
1482578181,6
1482578182,9
1482578183,8
1482578184,5
1482578185,6
1482578186,10
1482578187,9
1482578188,9
1482578189,8
1482578190,5
1482578191,8
1482578192,6
1482578193,8
1482578194,9
1482578195,9
1482578196,9
1482578197,10
1482578198,4
1482578199,8
1482578200,5
1482578201,5
1482578202,6
1482578203,7
1482578204,6
1482578205,2
1482578206,2
1482578207,6
1482578208,4
1482578209,4
1482578210,5
1482578211,6
1482578212,3
