0.jpg,27.0,27.0,30.0,30.0
1.jpg,27.0,27.0,30.0,30.0
2.jpg,30.0,30.0,33.0,33.0
3.jpg,30.0,30.0,33.0,33.0
4.jpg,63.0,63.0,60.0,66.0
5.jpg,63.0,63.0,66.0,60.0
6.jpg,60.0,66.0,60.0,66.0
7.jpg,66.0,60.0,66.0,60.0
8.jpg,60.0,66.0,60.0,66.0
9.jpg,66.0,60.0,66.0,60.0
10.jpg,60.0,66.0,60.0,66.0
11.jpg,66.0,60.0,66.0,60.0
12.jpg,60.0,66.0,60.0,66.0
13.jpg,66.0,60.0,66.0,60.0
14.jpg,60.0,66.0,60.0,66.0
15.jpg,66.0,60.0,66.0,60.0
16.jpg,60.0,66.0,60.0,66.0
17.jpg,66.0,60.0,66.0,60.0
18.jpg,60.0,66.0,57.0,69.0
19.jpg,66.0,60.0,69.0,57.0
20.jpg,57.0,69.0,54.0,72.0
21.jpg,69.0,57.0,72.0,54.0
22.jpg,54.0,72.0,63.0,63.0
23.jpg,72.0,54.0,63.0,63.0
24.jpg,63.0,63.0,63.0,63.0
25.jpg,63.0,63.0,63.0,63.0
26.jpg,63.0,63.0,63.0,63.0
27.jpg,63.0,63.0,63.0,63.0
28.jpg,63.0,63.0,63.0,63.0
29.jpg,63.0,63.0,63.0,63.0
30.jpg,63.0,63.0,66.0,60.0
31.jpg,63.0,63.0,60.0,66.0
32.jpg,66.0,60.0,69.0,57.0
33.jpg,60.0,66.0,57.0,69.0
34.jpg,69.0,57.0,72.0,54.0
35.jpg,57.0,69.0,54.0,72.0
36.jpg,72.0,54.0,75.0,51.0
37.jpg,54.0,72.0,51.0,75.0
38.jpg,75.0,51.0,78.0,48.0
39.jpg,51.0,75.0,48.0,78.0
40.jpg,78.0,48.0,81.0,45.0
41.jpg,48.0,78.0,45.0,81.0
42.jpg,81.0,45.0,84.0,42.0
43.jpg,45.0,81.0,42.0,84.0
44.jpg,84.0,42.0,87.0,39.0
45.jpg,42.0,84.0,39.0,87.0
46.jpg,87.0,39.0,90.0,36.0
47.jpg,39.0,87.0,36.0,90.0
48.jpg,90.0,36.0,93.0,33.0
49.jpg,36.0,90.0,33.0,93.0
50.jpg,93.0,33.0,96.0,30.0
51.jpg,33.0,93.0,30.0,96.0
52.jpg,96.0,30.0,99.0,27.0
53.jpg,30.0,96.0,27.0,99.0
54.jpg,63.0,63.0,60.0,66.0
55.jpg,63.0,63.0,66.0,60.0
56.jpg,60.0,66.0,60.0,66.0
57.jpg,66.0,60.0,66.0,60.0
58.jpg,60.0,66.0,57.0,69.0
59.jpg,66.0,60.0,69.0,57.0
60.jpg,57.0,69.0,54.0,72.0
61.jpg,69.0,57.0,72.0,54.0
62.jpg,54.0,72.0,51.0,75.0
63.jpg,72.0,54.0,75.0,51.0
64.jpg,51.0,75.0,48.0,78.0
65.jpg,75.0,51.0,78.0,48.0
66.jpg,48.0,78.0,45.0,81.0
67.jpg,78.0,48.0,81.0,45.0
68.jpg,42.0,84.0,63.0,63.0
69.jpg,84.0,42.0,63.0,63.0
70.jpg,63.0,63.0,63.0,63.0
71.jpg,63.0,63.0,63.0,63.0
72.jpg,63.0,63.0,63.0,63.0
73.jpg,63.0,63.0,63.0,63.0
74.jpg,63.0,63.0,60.0,66.0
75.jpg,63.0,63.0,66.0,60.0
76.jpg,60.0,66.0,60.0,66.0
77.jpg,66.0,60.0,66.0,60.0
78.jpg,60.0,66.0,60.0,66.0
79.jpg,66.0,60.0,66.0,60.0
80.jpg,60.0,66.0,60.0,66.0
81.jpg,66.0,60.0,66.0,60.0
82.jpg,60.0,66.0,57.0,69.0
83.jpg,66.0,60.0,69.0,57.0
84.jpg,57.0,69.0,54.0,72.0
85.jpg,69.0,57.0,72.0,54.0
86.jpg,54.0,72.0,51.0,75.0
87.jpg,72.0,54.0,75.0,51.0
88.jpg,51.0,75.0,48.0,78.0
89.jpg,75.0,51.0,78.0,48.0
90.jpg,48.0,78.0,45.0,81.0
91.jpg,78.0,48.0,81.0,45.0
92.jpg,39.0,87.0,39.0,87.0
93.jpg,87.0,39.0,87.0,39.0
94.jpg,39.0,87.0,39.0,87.0
95.jpg,87.0,39.0,87.0,39.0
96.jpg,39.0,87.0,39.0,87.0
97.jpg,87.0,39.0,87.0,39.0
98.jpg,39.0,87.0,39.0,87.0
99.jpg,87.0,39.0,87.0,39.0
100.jpg,39.0,87.0,39.0,87.0
101.jpg,87.0,39.0,87.0,39.0
102.jpg,39.0,87.0,39.0,87.0
103.jpg,87.0,39.0,87.0,39.0
104.jpg,39.0,87.0,39.0,87.0
105.jpg,87.0,39.0,87.0,39.0
106.jpg,39.0,87.0,39.0,87.0
107.jpg,87.0,39.0,87.0,39.0
108.jpg,39.0,87.0,39.0,87.0
109.jpg,87.0,39.0,87.0,39.0
110.jpg,39.0,87.0,39.0,87.0
111.jpg,87.0,39.0,87.0,39.0
112.jpg,39.0,87.0,39.0,87.0
113.jpg,87.0,39.0,87.0,39.0
114.jpg,39.0,87.0,39.0,87.0
115.jpg,87.0,39.0,87.0,39.0
116.jpg,39.0,87.0,39.0,87.0
117.jpg,87.0,39.0,87.0,39.0
118.jpg,39.0,87.0,63.0,63.0
119.jpg,87.0,39.0,63.0,63.0
120.jpg,63.0,63.0,63.0,63.0
121.jpg,63.0,63.0,63.0,63.0
122.jpg,63.0,63.0,63.0,63.0
123.jpg,63.0,63.0,63.0,63.0
124.jpg,63.0,63.0,63.0,63.0
125.jpg,63.0,63.0,63.0,63.0
126.jpg,63.0,63.0,66.0,60.0
127.jpg,63.0,63.0,60.0,66.0
128.jpg,66.0,60.0,69.0,57.0
129.jpg,60.0,66.0,57.0,69.0
130.jpg,69.0,57.0,72.0,54.0
131.jpg,57.0,69.0,54.0,72.0
132.jpg,72.0,54.0,75.0,51.0
133.jpg,54.0,72.0,51.0,75.0
134.jpg,81.0,45.0,84.0,42.0
135.jpg,45.0,81.0,42.0,84.0
136.jpg,84.0,42.0,87.0,39.0
137.jpg,42.0,84.0,39.0,87.0
138.jpg,87.0,39.0,90.0,36.0
139.jpg,39.0,87.0,36.0,90.0
140.jpg,63.0,63.0,60.0,66.0
141.jpg,63.0,63.0,66.0,60.0
142.jpg,60.0,66.0,57.0,69.0
143.jpg,66.0,60.0,69.0,57.0
144.jpg,57.0,69.0,54.0,72.0
145.jpg,69.0,57.0,72.0,54.0
146.jpg,54.0,72.0,51.0,75.0
147.jpg,72.0,54.0,75.0,51.0
148.jpg,33.0,93.0,30.0,96.0
149.jpg,93.0,33.0,96.0,30.0
150.jpg,30.0,96.0,27.0,99.0
151.jpg,96.0,30.0,99.0,27.0
152.jpg,27.0,99.0,24.0,102.0
153.jpg,99.0,27.0,102.0,24.0
154.jpg,24.0,102.0,21.0,105.0
155.jpg,102.0,24.0,105.0,21.0
156.jpg,63.0,63.0,63.0,63.0
157.jpg,63.0,63.0,63.0,63.0
158.jpg,63.0,63.0,63.0,63.0
159.jpg,63.0,63.0,63.0,63.0
160.jpg,63.0,63.0,63.0,63.0
161.jpg,63.0,63.0,63.0,63.0
162.jpg,63.0,63.0,63.0,63.0
163.jpg,63.0,63.0,63.0,63.0
164.jpg,63.0,63.0,63.0,63.0
165.jpg,63.0,63.0,63.0,63.0
166.jpg,63.0,63.0,60.0,66.0
167.jpg,63.0,63.0,66.0,60.0
168.jpg,60.0,66.0,60.0,66.0
169.jpg,66.0,60.0,66.0,60.0
170.jpg,60.0,66.0,60.0,66.0
171.jpg,66.0,60.0,66.0,60.0
172.jpg,60.0,66.0,60.0,66.0
