1482582467,5
1482582468,7
1482582469,6
1482582470,7
1482582471,8
1482582472,7
1482582473,4
1482582474,5
1482582475,3
1482582476,3
1482582477,6
1482582478,5
1482582479,9
1482582480,6
1482582481,4
1482582482,1
1482582483,1
1482582484,4
1482582485,4
1482582486,5
1482582487,3
1482582488,5
1482582489,6
1482582490,1
1482582491,1
1482582492,2
1482582493,1
1482582494,3
1482582495,5
1482582496,8
1482582497,8
1482582498,11
1482582499,7
1482582500,7
1482582501,1
1482582502,4
1482582503,4
1482582504,9
1482582505,5
1482582506,3
1482582507,3
1482582508,8
1482582509,9
1482582510,11
1482582511,3
1482582512,2
1482582513,5
1482582514,3
1482582515,8
1482582516,6
1482582517,8
1482582518,9
1482582519,6
1482582520,5
1482582521,3
1482582522,6
1482582523,4
1482582524,6
1482582525,7
1482582526,7
1482582527,7
1482582528,8
1482582529,5
1482582530,7
1482582531,8
1482582532,7
1482582533,8
1482582534,5
1482582535,5
1482582536,8
1482582537,9
